dataset,model,selector,selector_type,best_epoch,best_val_score,num_val_corruptions,val_corruption_names,val_corruption_severity,test_clean_acc,test_corrupt_mean_acc,robustness_gap,experiment_dir,checkpoint_path
cifar10,convnext,corr_k3_s2,corrupt,18,0.6846,3,"gaussian_noise, motion_blur, fog",2,0.8294,0.73396,0.09544,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_convnext_seed42/best_corr_k3_s2.pt
cifar10,resnet,corr_k3_s2,corrupt,24,0.3476999999999999,3,"gaussian_noise, motion_blur, fog",2,0.6616,0.44544,0.2161599999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_resnet_seed42/best_corr_k3_s2.pt
cifar10,vgg,corr_k1_s2,corrupt,20,0.7678,1,gaussian_noise,2,0.8828,0.76604,0.1167599999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vgg_seed42/best_corr_k1_s2.pt
cifar10,vit,corr_k3_s2,corrupt,25,0.5668333333333334,3,"gaussian_noise, motion_blur, fog",2,0.7221,0.60838,0.1137199999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/cifar10_vit_seed42/best_corr_k3_s2.pt
fashion_mnist,convnext,corr_k3_s2,corrupt,19,0.7165833333333333,3,"gaussian_noise, motion_blur, fog",2,0.9263,0.6875799999999999,0.2387200000000001,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_convnext_seed42/best_corr_k3_s2.pt
fashion_mnist,resnet,corr_k5_s2,corrupt,3,0.4021333333333333,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.6959,0.39706,0.2988399999999999,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_resnet_seed42/best_corr_k5_s2.pt
fashion_mnist,vgg,corr_k3_s2,corrupt,18,0.7833333333333333,3,"gaussian_noise, motion_blur, fog",2,0.9405,0.78406,0.15644,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vgg_seed42/best_corr_k3_s2.pt
fashion_mnist,vit,corr_k5_s2,corrupt,18,0.6762333333333334,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.8846,0.6725,0.2121,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/fashion_mnist_vit_seed42/best_corr_k5_s2.pt
imagenet100,convnext,corr_k5_s2,corrupt,13,0.3507521367521368,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.5463846153846154,0.3539076923076923,0.192476923076923,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_convnext_seed42/best_corr_k5_s2.pt
imagenet100,resnet,corr_k5_s2,corrupt,20,0.1906153846153846,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.4206923076923077,0.1874461538461538,0.2332461538461538,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_resnet_seed42/best_corr_k5_s2.pt
imagenet100,vgg,corr_k5_s2,corrupt,20,0.3720769230769231,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.6908461538461539,0.37,0.3208461538461539,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vgg_seed42/best_corr_k5_s2.pt
imagenet100,vit,corr_k5_s2,corrupt,16,0.3248803418803418,5,"gaussian_noise, motion_blur, fog, brightness, jpeg_compression",2,0.4701538461538461,0.3260615384615384,0.1440923076923077,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42,/data/Sajjan_Singh/cv_assign_04/cv_assign_04_gpu_split_local_fast5/cv_assign_04_gpu_split_local_fast5/cv_assign_04/checkpoints/imagenet100_vit_seed42/best_corr_k5_s2.pt
